"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Green Dragon Wyrmling","MM'25","152","Medium","Dragon (Chromatic)","lawful evil","17","38 (7d8 + 7)","30 ft., Fly 60 ft., Swim 30 ft.","15","12","13","14","11","13","Dex +3, Wis +2","Perception +4, Stealth +3","","","poison","poisoned","Blindsight 10 ft., Darkvision 60 ft., passive Perception 14","Draconic","2 (XP 450; PB +2)","Amphibious. The dragon can breathe air and water.","Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (1d10 + 2) Slashing damage plus 3 (1d6) Poison damage.
Poison Breath (Recharge 5–6). Constitution Saving Throw: DC 11, each creature in a 15-foot Cone. Failure: 21 (6d6) Poison damage. Success: Half damage.","","","","","","","Forest","Arcana"
"Green Hag","MM'25","156","Medium","Fey","neutral evil","17","82 (11d8 + 33)","30 ft., Swim 30 ft.","18","12","16","13","14","14","","Arcana +5, Deception +4, Perception +4, Stealth +3","","","","","Darkvision 60 ft., passive Perception 14","Common, Elvish, Sylvan","3 (XP 700; PB +2)","Amphibious. The hag can breathe air and water.
Coven Magic. While within 30 feet of at least two hag allies, the hag can cast one of the following spells, requiring no Material components, using the spell's normal casting time, and using Intelligence as the spellcasting ability (spell save DC 11): Augury, Find Familiar, Identify, Locate Object, Scrying, or Unseen Servant. The hag must finish a Long Rest before using this trait to cast that spell again.
Mimicry. The hag can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations only with a successful DC 14 Wisdom (Insight) check.","Multiattack. The hag makes two Claw attacks.
Claw. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Slashing damage plus 3 (1d6) Poison damage.
Spellcasting. The hag casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 12, +4 to hit with spell attacks):At will: Dancing Lights, Disguise Self (24-hour duration), Invisibility (self only, and the hag leaves no tracks while Invisible), Minor Illusion, Ray of Sickness (level 3 version)","","","","","","","Forest, Hill, Swamp","Arcana"
"Green Slaad","MM'25","286","Large","Aberration","chaotic neutral","16","144 (17d10 + 51)","30 ft.","16","15","16","11","8","18","","Arcana +3, Perception +2","","acid, cold, fire, lightning, thunder","","","Blindsight 30 ft., Darkvision 60 ft., passive Perception 12","Common, Slaad; telepathy 60 ft.","8 (XP 3,900; PB +3)","Magic Resistance. The slaad has Advantage on saving throws against spells and other magical effects.
Regeneration. The slaad regains 10 Hit Points at the start of each of its turns if it has at least 1 Hit Point.","Multiattack. The slaad makes three Chaos Staff attacks.
Chaos Staff. Melee or Ranged Attack Roll: +7, reach 10 ft. or range 60 ft. Hit: 8 (1d8 + 4) Force damage. Until the start of the slaad's next turn, the target has a condition determined by rolling 1d4: on a 1, Charmed; on a 2, Frightened; on a 3, Poisoned; or on a 4, Incapacitated.
Spellcasting. The slaad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 14, +6 to hit with spell attacks):At will: Detect Magic, Detect Thoughts, Mage Hand1/day each: Fireball, Invisibility (self only)","Shape-Shift. The slaad shape-shifts into a Small or Medium Humanoid, or it returns to its true form. Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Planar (Limbo)","Any"
"Grell","MM'25","157","Medium","Aberration","neutral evil","12","55 (10d8 + 10)","10 ft., Fly 30 ft. (hover)","15","14","13","12","11","9","","Perception +4, Stealth +6","","","lightning","blinded, prone","Blindsight 60 ft., passive Perception 14","Deep Speech","3 (XP 700; PB +2)","Abduct. The grell needn't spend extra movement to move a creature it is grappling.","Multiattack. The grell makes one Beak attack and one Paralyzing Tentacles attack.
Beak. Melee Attack Roll: +4, reach 5 ft. Hit: 11 (2d8 + 2) Piercing damage.
Paralyzing Tentacles. Melee Attack Roll: +4, reach 10 ft. Hit: 7 (1d10 + 2) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12) from two of ten tentacles. The target is also subjected to the following effect. Constitution Saving Throw: DC 11. Failure: The target has the Poisoned condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically. While Poisoned, the target has the Paralyzed condition.","","","","","","","Underdark",""
"Grick","MM'25","158","Medium","Aberration","unaligned","14","54 (12d8)","30 ft., Climb 30 ft.","14","14","11","3","14","5","","Stealth +4","","","","","Darkvision 60 ft., passive Perception 12","—","2 (XP 450; PB +2)","","Multiattack. The grick makes one Beak attack and one Tentacles attack.
Beak. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Piercing damage.
Tentacles. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (1d10 + 2) Slashing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12) from all four tentacles.","","","","","","","Forest, Underdark","Any"
"Grick Ancient","MM'25","158","Large","Aberration","unaligned","18","135 (18d10 + 36)","30 ft., Climb 30 ft.","18","16","15","4","14","9","","Stealth +6","","","","","Darkvision 60 ft., passive Perception 12","—","7 (XP 2,900; PB +3)","","Multiattack. The grick makes one Beak attack, one Slam attack, and one Tentacles attack.
Beak. Melee Attack Roll: +7, reach 10 ft. Hit: 22 (4d8 + 4) Piercing damage.
Slam. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.
Tentacles. Melee Attack Roll: +7, reach 10 ft. Hit: 15 (2d10 + 4) Slashing damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from all four tentacles.","","","","","","","Forest, Underdark","Any"
"Griffon","MM'25","159","Large","Monstrosity","unaligned","12","59 (7d10 + 21)","30 ft., Fly 80 ft.","18","15","16","2","13","8","","Perception +5","","","","","Darkvision 60 ft., passive Perception 15","—","2 (XP 450; PB +2)","","Multiattack. The griffon makes two Rend attacks.
Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 14) from both of the griffon's front claws.","","","","","","","Arctic, Coastal, Grassland, Hill, Mountain",""
"Grimlock","MM'25","160","Medium","Aberration","neutral evil","11","11 (2d8 + 2)","30 ft., Climb 30 ft.","16","12","12","9","8","6","","Athletics +5, Perception +3, Stealth +5","","","","","Blindsight 30 ft., passive Perception 13","—","1/4 (XP 50; PB +2)","","Bone Cudgel. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage plus 2 (1d4) Psychic damage.","","","","","","","Underdark",""
"Guard","MM'25","162","Small or Medium","Humanoid","neutral","16","11 (2d8 + 2)","30 ft.","13","12","12","10","11","10","","Perception +2","","","","","passive Perception 12","Common","1/8 (XP 25; PB +2)","","Spear. Melee or Ranged Attack Roll: +3, reach 5 ft. or range 20/60 ft. Hit: 4 (1d6 + 1) Piercing damage.","","","","","","","Any","Individual, Armaments"
"Guard Captain","MM'25","162","Small or Medium","Humanoid","neutral","18","75 (10d8 + 30)","30 ft.","18","14","16","12","14","13","","Athletics +6, Perception +4","","","","","passive Perception 14","Common","4 (XP 1,100; PB +2)","","Multiattack. The guard makes two attacks, using Javelin or Longsword in any combination.
Javelin. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 30/120 ft. Hit: 14 (3d6 + 4) Piercing damage.
Longsword. Melee Attack Roll: +6, reach 5 ft. Hit: 15 (2d10 + 4) Slashing damage.","","","","","","","Any","Individual, Armaments"
"Guardian Naga","MM'25","161","Large","Celestial","lawful good","18","136 (16d10 + 48)","40 ft., Climb 40 ft., Swim 40 ft.","19","18","16","16","19","18","Dex +8, Con +7, Int +7, Wis +8, Cha +8","Arcana +11, History +11, Religion +11","","","poison","charmed, paralyzed, poisoned, restrained","Darkvision 60 ft., passive Perception 14","Celestial, Common","10 (XP 5,900; PB +4)","Celestial Restoration. If the naga dies, it returns to life in 1d6 days and regains all its Hit Points unless Dispel Evil and Good is cast on its remains.","Multiattack. The naga makes two Bite attacks. It can replace any attack with a use of Poisonous Spittle.
Bite. Melee Attack Roll: +8, reach 10 ft. Hit: 17 (2d12 + 4) Piercing damage plus 22 (4d10) Poison damage.
Poisonous Spittle. Constitution Saving Throw: DC 16, one creature the naga can see within 60 feet. Failure: 31 (7d8) Poison damage, and the target has the Blinded condition until the start of the naga's next turn. Success: Half damage only.
Spellcasting. The naga casts one of the following spells, requiring no Somatic or Material components and using Wisdom as the spellcasting ability (spell save DC 16):At will: Thaumaturgy1/day each: Clairvoyance, Cure Wounds (level 6 version), Flame Strike (level 6 version), Geas, True Seeing","","","","","","","Desert, Forest, Planar (Upper Planes)","Relics"
"Gulthias Blight","MM'25","45","Gargantuan","Plant","neutral evil","20","264 (16d20 + 96)","50 ft.","25","10","22","10","18","12","","Perception +9","","fire, necrotic","","deafened","Blindsight 120 ft., passive Perception 19","Common, Druidic","16 (XP 15,000; PB +5)","Blight Seeds. When it finishes a Long Rest, the blight expels 1d6 seeds into unoccupied spaces on the ground within 30 feet of itself. After 24 hours, the seeds become creatures under the blight's control. Roll 1d8 for each seed to determine the creature it becomes: on 1-4, Twig Blight; on 5-6, Needle Blight; on 7-8, Vine Blight.","Multiattack. The blight makes two attacks, using Slam or Thorn Volley in any combination. It also uses Life-Draining Root.
Slam. Melee Attack Roll: +12, reach 10 ft. Hit: 25 (4d8 + 7) Bludgeoning damage.
Thorn Volley. Ranged Attack Roll: +12, range 60/180 ft. Hit: 20 (3d8 + 7) Piercing damage.
Life-Draining Root. Constitution Saving Throw: DC 20, one Huge or smaller creature the blight can see within 30 feet. Failure: 14 (2d6 + 7) Necrotic damage, and the target has the Grappled condition (escape DC 17) from one of six roots. Until the grapple ends, the target has the Restrained condition and takes 14 (4d6) Necrotic damage at the start of each of its turns. The target's Hit Point maximum decreases by an amount equal to the Necrotic damage taken, and the blight regains Hit Points equal to that amount.","","","","","","","Forest",""
"Half-Dragon","MM'25","163","Medium","Dragon","neutral","18","105 (14d8 + 42)","40 ft.","19","14","16","10","15","14","Dex +5, Wis +5","Athletics +7, Perception +5, Stealth +5","","Damage type chosen for the Draconic Origin trait below","","","Blindsight 10 ft., Darkvision 60 ft., passive Perception 15","Common, Draconic","5 (XP 1,800; PB +3)","Draconic Origin. The half-dragon is related to a type of dragon associated with one of the following damage types (DM's choice): Acid, Cold, Fire, Lightning, or Poison. This choice affects other aspects of the stat block.","Multiattack. The half-dragon makes two Claw attacks.
Claw. Melee Attack Roll: +7, reach 10 ft. Hit: 6 (1d4 + 4) Slashing damage plus 7 (2d6) damage of the type chosen for the Draconic Origin trait.
Dragon's Breath (Recharge 5–6). Dexterity Saving Throw: DC 14, each creature in a 30-foot Cone. Failure: 28 (8d6) damage of the type chosen for the Draconic Origin trait. Success: Half damage.","Leap. The half-dragon jumps up to 30 feet by spending 10 feet of movement.","","","","","","Any","Armaments"
"Harpy","MM'25","164","Medium","Monstrosity","chaotic evil","11","38 (7d8 + 7)","20 ft., Fly 40 ft.","12","13","12","7","10","13","","","","","","","passive Perception 10","Common","1 (XP 200; PB +2)","","Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 6 (2d4 + 1) Slashing damage.
Luring Song. The harpy sings a magical melody, which lasts until the harpy's Concentration ends on it. Wisdom Saving Throw: DC 11, each Humanoid and Giant in a 300-foot Emanation originating from the harpy when the song starts. Failure: The target has the Charmed condition until the song ends and repeats the save at the end of each of its turns. While Charmed, the target has the Incapacitated condition and ignores the Luring Song of other harpies. If the target is more than 5 feet from the harpy, the target moves on its turn toward the harpy by the most direct route, trying to get within 5 feet of the harpy. It doesn't avoid Opportunity Attacks; however, before moving into damaging terrain (such as lava or a pit) and whenever it takes damage from a source other than the harpy, the target repeats the save. Success: The target is immune to this harpy's Luring Song for 24 hours.","","","","","","","Coastal, Forest, Hill, Mountain","Any"
"Haunting Revenant","MM'25","260","Gargantuan","Undead","neutral","20","203 (14d20 + 56)","30 ft.","20","12","18","16","18","20","Con +8, Wis +8","","","necrotic, psychic","poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Truesight 60 ft., passive Perception 14","Common plus two other languages","10 (XP 5,900; PB +4)","Haunted Zone. Constitution Saving Throw: DC 17, any creature that casts a spell while inside the revenant's space. Failure: The spell fails and is wasted.
Undead Restoration. If the revenant dies, it revives 24 hours later unless Dispel Evil and Good is cast on its remains. If it revives, it animates another Gargantuan object or structure elsewhere on the same plane of existence; it now looks different but uses the same stat block and returns with all its Hit Points.","Multiattack. The revenant makes two Object Slam attacks and uses Invitation.
Object Slam. Melee or Ranged Attack Roll: +9 (with Advantage if the target is inside the revenant's space), reach 10 ft. or range 30/90 ft. Hit: 27 (5d8 + 5) Bludgeoning damage.
Invitation. Charisma Saving Throw: DC 17, each creature in a 60-foot Cone. Failure: The target is teleported inside the revenant's space and swallowed. A swallowed creature has Total Cover against attacks and other effects outside the revenant.While the revenant has Hit Points, a swallowed creature can leave the revenant's space only by using magic that enables planar travel, such as the Plane Shift spell.","","","","","","","Forest, Swamp, Urban","Any"
"Hawk","MM'25","362","Tiny","Beast","unaligned","13","1 (1d4 - 1)","10 ft., Fly 60 ft.","5","16","8","2","14","6","","Perception +6","","","","","passive Perception 16","—","0 (XP 10; PB +2)","","Talons. Melee Attack Roll: +5, reach 5 ft. Hit: 1 Slashing damage.","","","","","","","Arctic, Coastal, Forest, Grassland, Hill, Mountain",""
"Hell Hound","MM'25","165","Medium","Fiend","lawful evil","15","58 (9d8 + 18)","50 ft.","17","12","14","6","13","6","","Perception +5","","","fire","","Darkvision 60 ft., passive Perception 15","Understands Infernal but can't speak","3 (XP 700; PB +2)","Pack Tactics. The hound has Advantage on an attack roll against a creature if at least one of the hound's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Multiattack. The hound makes two Bite attacks.
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Piercing damage plus 3 (1d6) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 12, each creature in a 15-foot Cone. Failure: 17 (5d6) Fire damage. Success: Half damage.","","","","","","","Mountain, Planar (Lower Planes), Underdark",""
"Helmed Horror","MM'25","166","Medium","Construct","neutral","20","67 (9d8 + 27)","30 ft., Fly 30 ft. (hover)","18","13","16","10","10","10","","Perception +4","","","necrotic, poison","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, stunned","Blindsight 60 ft., passive Perception 14","Understands Common plus one other language but can't speak","4 (XP 1,100; PB +2)","Magic Resistance. The helmed horror has Advantage on saving throws against spells and other magical effects.
Spell Immunity. The helmed horror is immune to three spells chosen by its creator. Typical choices include Heat Metal, Lightning Bolt, and Magic Missile.","Multiattack. The helmed horror makes two Arcane Sword attacks.
Arcane Sword. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Slashing damage plus 5 (1d10) Force damage.","","","","","","","Any","Armaments"
"Hezrou","MM'25","167","Large","Fiend (Demon)","chaotic evil","18","157 (15d10 + 75)","30 ft.","19","17","20","5","12","13","Str +7, Con +8, Wis +4","","","cold, fire, lightning","poison","poisoned","Darkvision 120 ft., passive Perception 11","Abyssal; telepathy 120 ft.","8 (XP 3,900; PB +3)","Demonic Restoration. If the hezrou dies outside the Abyss, its body dissolves into ichor, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Abyss.
Magic Resistance. The hezrou has Advantage on saving throws against spells and other magical effects.
Stench. Constitution Saving Throw: DC 16, any creature that starts its turn in a 10-foot Emanation originating from the hezrou. Failure: The target has the Poisoned condition until the start of its next turn.","Multiattack. The hezrou makes three Rend attacks.
Rend. Melee Attack Roll: +7, reach 5 ft. Hit: 6 (1d4 + 4) Slashing damage plus 9 (2d8) Poison damage.","Leap. The hezrou jumps up to 30 feet by spending 10 feet of movement.","","","","","","Planar (Abyss)","Any"
"Hill Giant","MM'25","168","Huge","Giant","chaotic evil","13","105 (10d12 + 40)","40 ft.","21","8","19","5","9","6","","Perception +2","","","","","passive Perception 12","Giant","5 (XP 1,800; PB +3)","","Multiattack. The giant makes two attacks, using Tree Club or Trash Lob in any combination.
Tree Club. Melee Attack Roll: +8, reach 10 ft. Hit: 18 (3d8 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.
Trash Lob. Ranged Attack Roll: +8, range 60/240 ft. Hit: 16 (2d10 + 5) Bludgeoning damage, and the target has the Poisoned condition until the end of its next turn.","","","","","","","Hill","Armaments"
"Hippogriff","MM'25","169","Large","Monstrosity","unaligned","11","26 (4d10 + 4)","40 ft., Fly 60 ft.","17","13","13","2","12","8","","Perception +5","","","","","passive Perception 15","—","1 (XP 200; PB +2)","Flyby. The hippogriff doesn't provoke an Opportunity Attack when it flies out of an enemy's reach.","Multiattack. The hippogriff makes two Rend attacks.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Slashing damage.","","","","","","","Grassland, Hill, Mountain",""
"Hippopotamus","MM'25","362","Large","Beast","unaligned","14","82 (11d10 + 22)","30 ft., Swim 30 ft.","21","7","15","2","12","4","Str +7","Perception +3","","","","","passive Perception 13","—","4 (XP 1,100; PB +2)","Hold Breath. The hippopotamus can hold its breath for 10 minutes.","Multiattack. The hippopotamus makes two Bite attacks.
Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 16 (2d10 + 5) Piercing damage.","","","","","","","Forest, Grassland, Swamp",""
"Hobgoblin Captain","MM'25","171","Medium","Fey (Goblinoid)","lawful evil","17","58 (9d8 + 18)","30 ft.","15","14","14","12","10","13","","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","3 (XP 700; PB +2)","Aura of Authority. While in a 10-foot Emanation originating from the hobgoblin, the hobgoblin and its allies have Advantage on attack rolls and saving throws, provided the hobgoblin doesn't have the Incapacitated condition.","Multiattack. The hobgoblin makes two attacks, using Greatsword or Longbow in any combination.
Greatsword. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Slashing damage plus 3 (1d6) Poison damage.
Longbow. Ranged Attack Roll: +4, range 150/600 ft. Hit: 6 (1d8 + 2) Piercing damage plus 5 (2d4) Poison damage.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hobgoblin Warlord","MM'25","171","Medium","Fey (Goblinoid)","lawful evil","20","112 (15d8 + 45)","30 ft.","17","14","16","14","11","15","Dex +5, Int +5, Wis +3, Cha +5","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","6 (XP 2,300; PB +3)","Aura of Authority. While in a 30-foot Emanation originating from the hobgoblin, the hobgoblin and its allies have Advantage on attack rolls and saving throws, provided the hobgoblin doesn't have the Incapacitated condition.","Multiattack. The hobgoblin makes three attacks, using Javelin or Longsword in any combination.
Javelin. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 30/120 ft. Hit: 11 (2d6 + 4) Piercing damage, and the target's Speed decreases by 10 feet until the start of the hobgoblin's next turn.
Longsword. Melee Attack Roll: +6, reach 5 ft. Hit: 12 (2d8 + 3) Slashing damage.","","Parry. Trigger: The hobgoblin is hit by a melee attack roll while holding a weapon. Response: The hobgoblin adds 3 to its AC against that attack, possibly causing it to miss.","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hobgoblin Warrior","MM'25","170","Medium","Fey (Goblinoid)","lawful evil","18","11 (2d8 + 2)","30 ft.","13","12","12","10","10","9","","","","","","","Darkvision 60 ft., passive Perception 10","Common, Goblin","1/2 (XP 100; PB +2)","Pack Tactics. The hobgoblin has Advantage on an attack roll against a creature if at least one of the hobgoblin's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Longsword. Melee Attack Roll: +3, reach 5 ft. Hit: 12 (2d10 + 1) Slashing damage.
Longbow. Ranged Attack Roll: +3, range 150/600 ft. Hit: 5 (1d8 + 1) Piercing damage plus 7 (3d4) Poison damage.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Homunculus","MM'25","172","Tiny","Construct","neutral","13","4 (1d4 + 2)","20 ft., Fly 40 ft.","4","15","14","10","10","7","Wis +2, Cha +0","","","","poison","charmed, poisoned","Darkvision 60 ft., passive Perception 10","Understands Common plus one other language but can't speak","0 (XP 10; PB +2)","Telepathic Bond. While the homunculus is on the same plane of existence as its master, the two of them can communicate telepathically with each other.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Piercing damage, and the target is subjected to the following effect. Constitution Saving Throw: DC 12. Failure: The target has the Poisoned condition until the end of the homunculus's next turn. Failure by 5 or More: The target has the Poisoned condition for 1 minute. While Poisoned, the target has the Unconscious condition, which ends early if the target takes any damage.","","","","","","","Any",""
"Hook Horror","MM'25","173","Large","Monstrosity","neutral","15","75 (10d10 + 20)","30 ft., Climb 30 ft.","18","10","15","6","12","7","Con +4","Perception +5","","","","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 15","Hook Horror","3 (XP 700; PB +2)","","Multiattack. The hook horror makes two Hook attacks.
Hook. Melee Attack Roll: +6, reach 10 ft. Hit: 11 (2d6 + 4) Piercing damage. If the target is a Large or smaller creature, the hook horror moves the target 5 feet straight toward or away from itself.","","","","","","","Underdark",""
"Horned Devil","MM'25","174","Large","Fiend (Devil)","lawful evil","18","199 (19d10 + 95)","30 ft., Fly 60 ft.","22","17","21","12","16","18","Str +10, Dex +7, Wis +7, Cha +8","","","","fire, poison","poisoned","Darkvision 150 ft. (unimpeded by magical Darkness), passive Perception 13","Infernal; telepathy 120 ft.","11 (XP 7,200; PB +4)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three attacks, using Searing Fork or Hurl Flame in any combination. It can replace one attack with a use of Infernal Tail.
Searing Fork. Melee Attack Roll: +10, reach 10 ft. Hit: 15 (2d8 + 6) Piercing damage plus 9 (2d8) Fire damage.
Hurl Flame. Ranged Attack Roll: +8, range 150 ft. Hit: 26 (5d8 + 4) Fire damage. If the target is a flammable object that isn't being worn or carried, it starts burning.
Infernal Tail. Dexterity Saving Throw: DC 17, one creature the devil can see within 10 feet. Failure: 10 (1d8 + 6) Necrotic damage, and the target receives an infernal wound if it doesn't have one. While wounded, the target loses 10 (3d6) Hit Points at the start of each of its turns. The wound closes after 1 minute, after a spell restores Hit Points to the target, or after the target or a creature within 5 feet of it takes an action to stanch the wound, doing so by succeeding on a DC 17 Wisdom (Medicine) check.","","","","","","","Planar (Nine Hells)","Relics"
"Hunter Shark","MM'25","363","Large","Beast","unaligned","12","45 (6d10 + 12)","5 ft., Swim 40 ft.","18","14","15","1","10","4","","Perception +2","","","","","Blindsight 60 ft., passive Perception 12","—","2 (XP 450; PB +2)","Water Breathing. The shark can breathe only underwater.","Bite. Melee Attack Roll: +6 (with Advantage if the target doesn't have all its Hit Points), reach 5 ft. Hit: 14 (3d6 + 4) Piercing damage.","","","","","","","Underwater",""
"Hydra","MM'25","175","Huge","Monstrosity","unaligned","15","184 (16d12 + 80)","40 ft., Swim 40 ft.","20","12","20","2","10","7","","Perception +6","","","","blinded, charmed, deafened, frightened, stunned, unconscious","Darkvision 60 ft., passive Perception 16","—","8 (XP 3,900; PB +3)","Hold Breath. The hydra can hold its breath for 1 hour.
Multiple Heads. The hydra has five heads. Whenever the hydra takes 25 damage or more on a single turn, one of its heads dies. The hydra dies if all its heads are dead. At the end of each of its turns when it has at least one living head, the hydra grows two heads for each of its heads that died since its last turn, unless it has taken Fire damage since its last turn. The hydra regains 20 Hit Points when it grows new heads.
Reactive Heads. For each head the hydra has beyond one, it gets an extra Reaction that can be used only for Opportunity Attacks.","Multiattack. The hydra makes as many Bite attacks as it has heads.
Bite. Melee Attack Roll: +8, reach 10 ft. Hit: 10 (1d10 + 5) Piercing damage.","","","","","","","Coastal, Swamp","Any"
"Hyena","MM'25","363","Medium","Beast","unaligned","11","5 (1d8 + 1)","50 ft.","11","13","12","2","12","5","","Perception +3","","","","","Darkvision 60 ft., passive Perception 13","—","0 (XP 10; PB +2)","Pack Tactics. The hyena has Advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Bite. Melee Attack Roll: +2, reach 5 ft. Hit: 3 (1d6) Piercing damage.","","","","","","","Desert, Forest, Grassland, Hill",""
"Ice Devil","MM'25","176","Large","Fiend (Devil)","lawful evil","18","228 (24d10 + 96)","40 ft.","21","14","18","18","15","18","Dex +7, Con +9, Wis +7, Cha +9","Insight +7, Perception +7, Persuasion +9","","","cold, fire, poison","poisoned","Blindsight 120 ft., passive Perception 17","Infernal; telepathy 120 ft.","14 (XP 11,500; PB +5)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three Ice Spear attacks. It can replace one attack with a Tail attack.
Ice Spear. Melee or Ranged Attack Roll: +10, reach 5 ft. or range 30/120 ft. Hit: 14 (2d8 + 5) Piercing damage plus 10 (3d6) Cold damage. Until the end of its next turn, the target can't take a Bonus Action or Reaction, its Speed decreases by 10 feet, and it can move or take one action on its turn, not both. Hit or Miss: The spear magically returns to the devil's hand immediately after a ranged attack.
Ice Wall (Recharge 6). The devil casts Wall of Ice (level 8 version), requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17).
Tail. Melee Attack Roll: +10, reach 10 ft. Hit: 15 (3d6 + 5) Bludgeoning damage plus 18 (4d8) Cold damage.","","","","","","","Planar (Nine Hells)","Arcana"
"Ice Mephit","MM'25","206","Small","Elemental","neutral evil","11","21 (6d6)","30 ft., Fly 30 ft.","7","13","10","9","11","12","","Perception +2, Stealth +3","fire","","cold, poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 12","Primordial (Aquan, Auran)","1/2 (XP 100; PB +2)","Death Burst. The mephit explodes when it dies. Constitution Saving Throw: DC 10, each creature in a 5-foot Emanation originating from the mephit. Failure: 5 (2d4) Cold damage. Success: Half damage.","Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Slashing damage plus 2 (1d4) Cold damage.
Fog Cloud (1/Day). The mephit casts Fog Cloud, requiring no spell components and using Charisma as the spellcasting ability.
Frost Breath (Recharge 6). Constitution Saving Throw: DC 10, each creature in a 15-foot Cone. Failure: 7 (3d4) Cold damage. Success: Half damage.","","","","","","","Planar (Elemental Planes)",""
