Title,Original Title,Category,Rarity,Attunement,Consumable,Charges,Cursed,Description,Price
Сумка фокусов,Bag of Tricks,Чудесный предмет,Необычный,Не требуется,Нет,Да,Нет,"Эта обычная с виду сумка, изготовленная из серой,
рыжей или коричневой ткани, выглядит пустой. Одна-
ко если засунуть в неё руку, то вы нащупаете малень-
кий пушистый предмет.
Вы можете действием магия вынуть из сумки пуши-
стый объект и бросить его на расстояние до 20 футов.
Когда объект приземляется, он превращается в суще-
ство, которое вы выбираете броском, сверяясь с табли-
цей ниже, соответствующей цвету сумки. Смотрите
статблок существа в Бестиарии. Существо исчезает на
следующем рассвете или когда его хиты будут умень-
шены до 0.
Существо дружественно к вам и вашим союзникам
и действует в инициативе сразу после вас. Вы можете
бонусным действием командовать существом: как су-
ществу перемещаться, какое действие ему совершать
в следующем ходу или можете отдать общий приказ,
такой как «атакуй врагов». Если приказов нет, то суще-
ство действует в соответствии со своей природе.
Как только из сумки достанут 3 пушистых объекта,
её нельзя будет использовать до следующего рассвета.
Серая сумка фокусов
1к8 Существо
1 Куница
2 Гигантская крыса
3 Барсук
4 Кабан
5 Пантера
6 Гигантский барсук
7 Лютый волк
8 Гигантский лось
Рыжая сумка фокусов
1к8 Существо
1 Крыса
2 Сова
3 Мастиф
4 Коза
5 Гигантская коза
6 Гигантский кабан
7 Лев
8 Бурый медведь
Коричневая сумка фокусов
1к8 Существо
1 Шакал
2 Обезьяна
3 Бабуин
4 Топороклюв
5 Черный медведь
6 Гиганская куница
7 Гигантская гиена
8 Тигр",400 зм
Бусина силы,Bead of Force,Чудесный предмет,Редкий,Не требуется,Да,Да,Нет,"Это маленький чёрный шарик 3/4 дюйма в диаме-
тре и весом в одну унцию. Как правило, 1к4 + 4 бусин
силы находят вместе.
Вы можете действием магия бросить бусину на рас-
стояние до 60 футов. Бусина взрывается при ударе и
уничтожается. Все существа, находящиеся в пределах
10 футов от места приземления бусины, должны преу-
спеть в спасброске Ловкости со Сл. 15, иначе получат
5к4 урона силовым полем. После этого на 1 минуту на
этой площади образуется прозрачная сфера из сило-
вого поля. Любое существо, провалившие спасбросок
и полностью находящиеся в пределах этой области,
оказывается запертым внутри сферы. Существа, пре-
успевшие в спасброске или находящиеся в этой сфере
лишь частично, выталкиваются из сферы до выхода за
её пределы. Только водздух, пригодный для дыхания,
может проходить сквозь стену сферы. Никакие атаки
и эффекты не могут проникать сквозь неё.
Запертое внутри существо может действием исполь-
зование толкать стену сферы, перемещая её со своей
уменьшенной вдвое скоростью. Сферу можно легко
поднять, так как вне зависимости от веса существ, на-
ходящихся в ней, её магия делает её вес всего 1 фунт.",2000 зм
Бусина насыщения,Bead of Nourishment,Чудесный предмет,Обычный,Не требуется,Да,Нет,Нет,"Эта безвкусная желеобразная бусина растворяется у
вас на языке и насыщает вас, как рацион на 1 день.",50 зм
Бусина освежения,Bead of Refreshment,Чудесный предмет,Обычный,Не требуется,Да,Нет,Нет,"Эта безвкусная желеобразная бусина растворяется в
жидкости, превращая до пинты жидкости в питьевую
холодную воду. Бусина не оказывает эффект на маги-
ческие жидкости или опасные вещества, такие как яд.",50 зм
Пояс дварфов,Belt of Dwarvenkind,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, вы получаете следующие
эффекты:
• Дварфийский язык. Вы знаете дварфийский
язык.
• Друг дварфов. Вы совершаете с преимуществом
проверки Харизмы (Убеждение) при взаимодей-
ствии с дварфами и дуэргарами.
• Выносливость. Ваше Телосложение увеличивается
на +2, с максимумом 20.
Кроме того, пока вы настроены на этот пояс, у вас
каждый день есть 50% шанс отрастить густую боро-
ду, если она у вас вообще растёт, или же ваша борода
станет гораздо гуще, если она уже есть.
Если вы — не дварф и не дуэргар, то вы получаете
следующие дополнительные эффекты, пока носите
этот пояс:
• Тёмное зрение. Вы получаете тёмное зрение в
пределах 60 футов.
• Стойкость. Вы получаете сопротивление к уро-
ну ядом. Вы также совершаете с преимуществом
спасброски для избегания или прекращения состо-
яния отравленный.",4000 зм
Пояс силы великана (холмовой),Belt of Giant Strength (hills),Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, значение вашей Силы
изменяется на показатель от пояса - 21 силы. Показатель пояса
определяется типом великана. Этот
предмет не оказывает на вас никакого эффекта, если
ваша Сила без пояса равна или превышает показатель
пояса.",4000 зм
Пояс силы великана (ледяной или каменный),Belt of Giant Strength (ice),Чудесный предмет,Очень редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, значение вашей Силы
изменяется на показатель от пояса - 23 силы. Показатель пояса
определяется типом великана. Этот
предмет не оказывает на вас никакого эффекта, если
ваша Сила без пояса равна или превышает показатель
пояса.",40000 зм
Пояс силы великана (огненный),Belt of Giant Strength (fire),Чудесный предмет,Очень редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, значение вашей Силы
изменяется на показатель от пояса - 25 силы. Показатель пояса
определяется типом великана. Этот
предмет не оказывает на вас никакого эффекта, если
ваша Сила без пояса равна или превышает показатель
пояса.",40000 зм
Пояс силы великана (облачный),Belt of Giant Strength (cloud),Чудесный предмет,Легендарный,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, значение вашей Силы
изменяется на показатель от пояса - 27 силы. Показатель пояса
определяется типом великана. Этот
предмет не оказывает на вас никакого эффекта, если
ваша Сила без пояса равна или превышает показатель
пояса.",200000 зм
Пояс силы великана (штормовой),Belt of Giant Strength (storm),Чудесный предмет,Легендарный,Требуется,Нет,Нет,Нет,"Пока вы носите этот пояс, значение вашей Силы
изменяется на показатель от пояса - 29 силы. Показатель пояса
определяется типом великана. Этот
предмет не оказывает на вас никакого эффекта, если
ваша Сила без пояса равна или превышает показатель
пояса.",200000 зм
Топор берсерка,Berserker Axe,Оружие,Редкий,Требуется,Нет,Нет,Да,"Рукопашное оружие (боевой топор, секира или алебарда)
Вы получаете бонус +1 к броскам атаки и урона,
совершённым этим магическим оружием. Кроме того,
пока вы настроены на это оружие, максимум ваших
хитов увеличивается на 1 за каждый полученный уро-
вень.
Проклятье. Это оружие проклято, и настройка
на него накладывает на вас это проклятье. Пока вы
остаётесь прокляты, вы не хотите расставаться с этим
оружием и всегда держите его в пределах досягаемо-
сти. Вы также получаете помеху на броски атаки с
оружием, кроме этого.
Каждый раз, когда враждебное существо наносит
вам урон, пока это оружие находится у вас, вы долж-
ны совершить спасбросок Мудрости со Сл. 15 и впасть
в состояние берсерка при провале. Это состояние
берсерка заканчивается, когда в начале вашего хода в
пределах 60 футов от вас больше нет существ, которых
вы можете видеть или слышать.
В состоянии берсерка вы считаете ближайшее слы-
шимое и видимое вами существо своим врагом. Если
таких существ несколько, то выберите 1 случайным
образом. В каждый ваш ход вы должны перемещаться
к этому существу как можно ближе и совершать дей-
ствие атака, целясь в это существо. Если вы не можете
подобраться достаточно близко к существу для атаки,
то ваш ход заканчивается сразу после того, как вы
использовали всё доступное ваше перемещение. Если
существо умирает или больше не может быть вами
увидено или услышано, то следующим врагом стано-
вится ближайшее существо, которое вы можете видеть
или слышать.",4000 зм
Чёрный клинок,Blackrazor,Оружие,Артефакт,Требуется,Нет,Нет,Нет,"Рукопашное оружие (двуручный меч)
Скрытый в подземельях горы Белый Шлейф, Чёр-
ный клинок сверкает как ночное небо, усыпанное
звёздами. Его чёрные ножны украшены кусочками
обсидиана.
Вы получаете бонус +3 к броскам атаки и урона,
совершённым этим оружием. Если вы попадаете по
нежити этим оружием, то вы получаете 1к10 урона
некротической энергией и цель восстанавливает 1к10
хитов. Если этот урон некротической энергией снижа-
ет ваши хиты до 9, то Чёрный клинок пожирает вашу
душу (см. Пожирание души ниже).
Пока вы держите это оружие, вы получаете иммуни-
тет к состояниям очарованный и испуганный, а также
получаете слепое зрение на дистанцию 30 футов.
Пожирание души. Каждый раз, когда вы Черным
клинком снижаете хиты существа до 0, он убивает
существо и пожирает его душу, если оно не конструкт
или нежить. Существо, чья душа пожрана Чёрным
клинком, может вернуться к жизни только с помощью
заклинания Желание.
Когда Чёрный клинок пожирает душу, которая не
является вашей, вы получаете временные хиты, рав-
ные максимуму хитов убитого существа.
Ускорение. Чёрный клинок может наложить закли-
нание Ускорение, после чего не сможет накладывать
это заклинание до следующего рассвета. Чёрный
клинок решает когда накладывать заклинание, кото-
рое начинает действовать в начале вашего хода. Оно
длится 1 минуту (концентрация не трубется) или пока
Чёрный клинок не решит его прекратить, что может
произойти в конце любого вашего хода.
Разум. Чёрный клинок — разумное хаотично-ней-
тральное оружие с Интеллектом 17, Мудростью 10 и
Харизмой 19. Он обладает слухом и тёмным зрением в
пределах 120 футов.
Это оружие говорит на общем языке и может теле-
пататией общаться с владельцем. Пока вы настроены
на него, Чёрный клинок также понимает все языки,
которые знаете вы.
Индивидуальность. Чёрный клинок разговарива-
ет повелительным тоном, словно привыкнув, что ему
подчиняются.
Его предназначение в пожирании душ. Ему всё рав-
но чью душу он пожрёт, даже если это будет владелец.
Он считает, что все виды материи и энергии проис-
ходят от пустоты негативной энергии, и когда-нибудь
туда вернутся. Чёрный клинок предназначен для того,
чтобы ускорить этот процесс.
Несмотря на весь нигилизм, Чёрный клинок чув-
ствует странное родство с Волной и Сокрушителем,
двумя другими оружиями, хранящимися под горой
Белый Шлейф. Он хочет, чтобы эти 3 оружия были
вместе и совместно использовались в сражениях,
несмотря на то, что он не согласен с Сокрушителем и
считает Волну занудной.
Жажду душ Чёрного клинка нужно постоянно удов-
летворять. Если меч в течение 3 дней не пожрёт ничью
душу, на следующем закате у него возникает конфликт
с владельцем.
Уничтожение Чёрного клинка. Чёрный клинок
можно уничтожить, раздавив его в великих механизмах
Механикуса. Примус, создатель модронов, также знает
ряд музыкальных тонов, которые Чёрный клинок не
может переносить и которые заставят меч разбиться.",Бесценный
Книга восторженных деяний,Book of Exalted Deeds,Чудесный предмет,Артефакт,Требуется,Нет,Нет,Нет,"Точный трактат о всём добром в Мультивселенной,
Книга восторженных деяний, занимает важное место
во многих религиях. Вместо посвящения этой книги
кокретной вере, разнообразные авторы заполняли её
страницы своим пониманием истинной добродетели и
давали советы по борьбе со злом.
Книга Восторженных Деяний редко надолго задер-
живается в одном месте. Когда её прочтут, она исчеза-
ет, чтобы появиться в другом уголке Мультивселенной
и нести там, в тёмный мир свои моральные нравоуче-
ния. Были попытки скопировать этот том, но они не
увенчались успехом, так как не удаётся передать его
магическую природу и его благословение целеустрем-
лённым и чистым сердцам.
Книга запирается тяжёлой застёжкой в форме ан-
гельских крыльев, что надёжно защищает содержание
книги. Только существо, настроенное на эту книгу,
может расстегнуть застёжку. Открыв книгу, настроен-
ное существо должно потратить 80 часов на её чтение
и изучение, чтобы получить от неё эффекты.
Другие существа, смотрящие на открытые стра-
ницы, видят текст, но не могут понять его глубокого
смысла и получить эффекты книги. Исчадие, нежить
или слуга бога Нижних планов, пытаясь прочесть эту
книгу получает 24к6 урона излучением. Этот урон
игнорирует сопротивления и иммунитеты, и его никак
нельзя ни уменьшить, ни избежать. Существо, чьи
хиты уменьшаются от этого урона до 0, уничтожает-
ся в ослепительной вспышке, но оставляет всё своё
снаряжение. Книга после этого исчезает, а настройка
существа на неё заканчивается.
Эффекты, даруемые Книгой восторженных деяний,
длятся только пока вы стремитесь к добру. Если вы
в течение 10 дней не совершаете ни одного доброго
или благородного деяния, то вы теряете все эффекты,
даруемые книгой.
Спокойствие небожителя. Пока вы настроены на
книгу, вы получаете иммунитет к состояниям очаро-
ванный и испуганный, а также сопротивление к урону
психической энергией. Эти преимущества становятся
постоянными после того, как вы потратите нужное
время на чтение и изучение книги.
Увеличенная Мудрость. После того, как вы потра-
тите нужное время на чтение и изучение книги, ваша
Мудрость увеличивается на 2, с максимумом 24. Вы не
можете получить этот эффект книги более 1 раза.
Просветлённая магия. После того, как вы потра-
тите нужное время на чтение и изучение книги, все
ячейки заклинаний, которые вы тратите для накла-
дывания заклинаний жреца или паладина, считаются
ячейками с уровнем на 1 выше.
Ореол. После того, как вы потратите нужное время
на чтение и изучение книги, вы начинаете излучать за-
щитный ореол. Он испускает яркий свет в пределах 10
футов и тусклый свет в пределах ещё 10 футов. Вы мо-
жете развеять или проявить ореол бонусным действи-
ем. Пока ореол существует, вы получаете преимущество
проверки Харизмы (Убеждение). Кроме того, исчадия и
нежить, находящиеся в пределах яркого света ореола,
совершают по вам броски атаки с помехой.
Случайные свойства. Книга восторженных деяний
обладает несколькими случайными свойствами (см.
Артефакты в этой главе):
• 2 малых положительных свойства
• 2 основных положительных свойства
Уничтожение Книги. Ходят слухи, что Книгу вос-
торженных деяний нельзя уничтожить, пока в муль-
тивселенной есть хоть частичка добра. Однако если
её бросить в реку Стикс, её письмена и иллюстрации
сотрутся, и на 1к100 лет книга станет бесполезной.",Бесценный
Книга мерзкой тьмы,Book of Vile Darkness,Чудесный предмет,Артефакт,Требуется,Нет,Нет,Нет,"Содержимое этого отвратительного манускрипта —
пища и питьё для нечестивых. Книга содержит знания
столь ужасные, что один только взгляд на её страницы
влечёт за собой гибель.
Большинство считает, что авторство Книги мерзкой
тьмы принадлежит богу-личу Векне. На её страницах
он записал все свои омерзительные идеи, все гнилые
мысли и все примеры самой чёрной магии, с которой
сталкивался или которую создал сам.
Книга была в руках и других злодеев, и многие
дополняли её своими мыслями. Эти дополнения сразу
видны, так как они либо вклеивали свои страницы,
либо делали пометки на полях и между строк. Есть
также места, где страницы вырваны или полностью
залиты чернилами или кровью, так что оригинальный
текст уже не разобрать.
Природа не может вынести присутствия книги.
Обычные растения увядают при ней, животные от-
казываются к ней приближаться, а книга постепенно
уничтожает всё, к чему прикасается. Даже камень
трескается и становится прахом, если книга долго
лежит на нём.
Каждый раз, когда существо, неявляющееся исча-
дием или нежитью, настраивается на Книгу мерзкой
тьмы, оно должно совершить спасбросок Харизмы со
Сл. 17. При провале существо магическим образом
превращается в ларву под контролем Мастера. Толь-
ко заклинание Желание может обратить это гнусное
превращение.
Существо, настроенное на эту книгу, должно потра-
тить 80 часов на чтение и изучение её содержимого,
чтобы получить от неё эффект Изменение характири-
стик.
Книга Мерзкой Тьмы остаётся с вами только пока
вы сеете зло в мире. Если вы за 10 дней не совершили
ни одного злого деяния или добровольно совершае-
те доброе деяние, то книга исчезает, настройка на
неё немедленно прерывается и вы теряете все пре-
доставленные ею эффекты. Если вы умираете, буду-
чи настроенным на эту книгу, вашу душу забирает
сущность великого зла. Вас нельзя вернуть к жизни
никакими средствами, пока ваша душа похищена.
Изменение характеристик. После того, как вы
потратите нужное время на чтение и изучение книги,
1 ваша характеристика на ваш выбор увеличивается
на 2, с максимумом 24. Другая ваша характеристи-
ка на ваш выбор уменьшается на 2, с минимумом 3.
Книга не может позже изменить ваши характеристики
повторно.
Неутомимая форма. Пока книга находится при
вас, у вас есть иммунитет к состоянию истощенный.
Случайные свойства. Книга мерзкой тьмы облада-
ет несколькими свойствами, определяемыми случай-
ным образом:
3 малых положительных свойства
1 основное положительное свойство
3 малых отрицательных свойства
2 основных отрицательных свойства
Заклинания. Пока вы держите книгу, вы можете
накладывать через неё следующие заклинания (Сл.
спасброска 18): Оживление мертвецов, Круг смерти,
Подчинение чудовища, Перст смерти.
Как только вы используете книгу для накладывания
заклинания, вы не сможете накладывать это заклина-
ния снова до следующего рассвета.
Тёмные знания. Вы можете обращаться к Книге
мерзкой тьмы, если совершаете проверку Интеллекта
для вспоминания информации о чём-то злом, напри-
мер, о демонах. Если вы это делаете, то вы совершаете
проверку с преимуществом.
На усмотрение Мастера, книга может открыть
секреты, которые не должен знать ни один смертный,
такие как истинные имена могущественных исчадий,
зловещие ритуалы, позволяющие превратиться в ры-
царя смерти или лича, или давно утраченные заклина-
ния, созданные столь злыми существами, что их имена
не следует произносить вслух.
Тёмная речь. Если книга находится при вас, то
вы можете действием магия прочесть вслух текст с её
страниц на зловещем мёртвом языке, известном как
Тёмная речь. Каждый раз, когда вы это делаете, вы по-
лучаете 1к12 урона психической энергией, а все суще-
ства в пределах 15 футов от вас получают 3к6 урона
психической энергией, кроме исчадий и нежити.
Уничтожение книги. Из Книги Мерзкой Тьмы мож-
но вырывать страницы, но зло, содержащееся на них,
в конечном счете, возвращается в неё, обычно когда
новый автор добавляет туда свои знания.
Если солар порвёт книгу на две части, она будет
уничтожена на 1к100 лет, после чего формируется
заново в далёкой части мультивселенной.
Существо, настроенное на книгу в течение 100
лет, может найти фразу, скрытую среди оригиналь-
ного текста, которая, если её перевести на небесный
и произнести вслух, уничтожит и книгу, и того, кто
её произнесёт, в яркой вспышке света. Однако если
в мультивселенной остаётся зло, книга формируется
заново через 1к10 × 100 лет.",Бесценный
Эльфийские сапоги,Boots of Elvenkind,Чудесный предмет,Необычный,Не требуется,Нет,Нет,Нет,"Пока вы носите эти сапоги, ваши шаги не издают
звука, вне зависимости от поверхности, по которой вы
идёте. Вы также получаете преимущество на проверки
Ловкости (Скрытность).",400 зм
Сапоги ложных следов,Boots of False Tracks,Чудесный предмет,Обычный,Требуется,Нет,Нет,Нет,"Когда вы их носите, то можете их заставить остав-
лять следы, подобные следам любого гуманоида вашего
размера.",100 зм
Сапоги левитации,Boots of Levitation,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите эти сапоги, вы можете накладывать
на себя заклинание Левитация.",4000 зм
Сапоги скорости,Boots of Speed,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите эти сапоги, вы можете бонусным
действием щёлкнуть каблуками сапог друг о друга.
Если вы делаете это, то сапоги удваивают вашу ско-
рость ходьбы, а все существа, совершающие по вам
провоцированные атаки, совершают броски атаки с
помехой. Если вы щёлкнете каблуками друг о друга
повторно, то вы прекращаете действие эффекта.
Если свойства этих сапог использовались в общей
сложности 10 минут, магия перестаёт работать, пока
вы не закончите продолжительный отдых.",4000 зм
Сапоги ходьбы и прыжков,Boots of Striding and Springing,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите эти сапоги, ваша скорость стано-
вится равной 30 футов, если она была ниже, и ваша
скорость не уменьшается, когда вы перегружены или
носите тяжёлый доспех.
Один раз в ваш ход вы можете подпрыгнуть на
высоту до 30 футов, потратив всего 10 футов передви-
жения.",400 зм
Заполярные сапоги,Boots of the Winterlands,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Эти меховые сапоги очень плотные и тёплые. Пока
вы их носите, вы получаете следующие эффекты:
Сопротивление холоду. Вы получаете сопротив-
ление к урону холодом и можете без дополнительной
защиты переносить температуру 0 градусов по Фарен-
гуйту (примерно -18 по Цельсию) или ниже.
Зимный странник. Вы игнорируете труднопрохо-
димую местность, созданную льдом или снегом.",400 зм
Чаша командования водяными элементалями,Bowl of Commanding Water Elementals,Чудесный предмет,Редкий,Не требуется,Нет,Нет,Нет,"Когда эта чаша наполнена водой и вы находитесь в
5 футах от неё, вы можете действием магия призвать
водяного элементаля. Элементаль появляется в бли-
жайшем свободном пространстве от чаши, он пони-
мает языки, которые понимаете вы, выполняет ваши
команды и действует в инициативе сразу после вас.
Элементаль исчезает через 1 час, когда умирает или
когда вы развеиваете его бонусным действием. Чашу
нельзя применять таким образом снова до следующего
рассвета.
Чаша диаметром примерно 1 фут, а в высоту она в
2 раза меньше. Она вмещает около 3 галлонов.",4000 зм
Наручи стрельбы из лука,Bracers of Archery,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите эти наручи, вы получаете навык
владения длинным и коротким луком и бонус +2 к бро-
скам урона этим оружием.",400 зм
Наручи защиты,Bracers of Defense,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите эти наручи, вы получаете бонус +2
к КД, если на вас не надет доспех и вы не используете
щит.",4000 зм
Жаровня командования огненными элементалями,Brazier of Commanding Fire Elementals,Чудесный предмет,Редкий,Не требуется,Нет,Нет,Нет,"Когда вы находитесь в 5 футах от этой жаровни, вы
можете действием магия призвать огненного элемен-
таля. Элементаль появляется в ближайшем свобод-
ном пространстве от жаровни, он понимает языки,
которые понимаете вы, выполняет ваши команды
и действует в инициативе сразу после вас. Элемен-
таль исчезает через 1 час, когда умирает или когда
вы развеиваете его бонусным действием. Жаровню
нельзя применять таким образом снова до следующего
рассвета.",4000 зм
Брошь защиты,Brooch of Shielding,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите эту брошь, вы обладаете сопротив-
лением к урону силовым полем и иммунитетом к урону
от заклинания Волшебная стрела.",400 зм
Помело полёта,Broom of Flying,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Это деревянная метла действует, как обычная метла,
пока вы не сядете на неё верхом и не совершите дей-
ствие магия, чтобы заставить её зависнуть под вами.
После этого на ней можно летать по воздуху. У метлы
скорость полёта 50 футов. Она может поднимать до 400
фунтов, но при весе 200 фунтов её скорость уже умень-
шается до 30 футов. Помело перестаёт парить, когда
вы приземляетесь или перестаёте ею пользоваться.
Действием магия вы можете отправить помело
двигаться самостоятельно в место, находящееся в
пределах 1 мили, если произнесёте командное слово и
назовёте хорошо знакомое вам место. Помело вернётся
к вам, когда вы совершите действие магия и произне-
сёте второе командное слово, при условии, что помело
всё ещё находится в пределах 1 мили.",400 зм
Свеча мольбы,Candle of Invocation,Чудесный предмет,Очень редкий,Требуется,Да,Нет,Нет,"Магия этой свечи активируется, когда она зажига-
ется, что требует действия магия. Погорев 4 часа, све-
ча уничтожается. Вы можете затушить свечу раньше,
чтобы воспользоваться ей же позже. Вычитайте время
горения из общего времени горения с точностью до 1
минуты.
Будучи зажжённой, свеча испускает тусклый свет в
радиусе 30 футов. В области этого света вы получаете
преимущество на Тест к20. Кроме того, жрецы и друи-
ды в области света могут накладывать подготовленные
заклинания 1 уровня без траты ячейки заклинаний.
В качестве альтернативы, когда вы впервые зажи-
гаете совершенно новую свечу, вы можете наложить
ей заклинание Врата. При этом свеча уничтожается.
Портал, созданный этим заклинанием, связывается с
определённым Внешним планом, выбранным Масте-
ром или случайно с помощью броска по следующей
таблице.
1к100 Внешний План 1к100 Внешний План
01-05 Бездна 
06-10 Ахерон 
11-17 Арборея 
18-25 Аркадия 
26-33 Звериные земли 
34-41 Битопия 
42-46 Карцери 
47-54 Элизиум 
55-59 Геенна
60-64 Гадес
65-69 Лимбо
70-77 Механус
78-85 Гора Целестия
86-90 Девять преисподней
91-95 Пандемониум
96-00 Асгард",20000 зм
